NAV,RP,SP,Date
55.1033,54.5523,56.3431,25-Jun-07
55.3676,54.8139,56.6134,26-Jun-07
55.1957,54.6437,56.4376,27-Jun-07
55.3563,54.8027,56.6018,28-Jun-07
55.8801,55.3213,57.1374,29-Jun-07
56.0673,55.5066,57.3288,2-Jul-07
56.485,55.9202,57.7559,3-Jul-07
56.3912,55.8273,57.66,4-Jul-07
56.2414,55.679,57.5068,5-Jul-07
56.5345,55.9692,57.8065,6-Jul-07
56.7889,56.221,58.0667,9-Jul-07
56.5661,56.0004,57.8388,10-Jul-07
56.648,56.0815,57.9226,11-Jul-07
57.3097,56.7366,58.5992,12-Jul-07
57.7858,57.2079,59.086,13-Jul-07
57.8829,57.3041,59.1853,16-Jul-07
57.4874,56.9125,58.7809,17-Jul-07
57.4429,56.8685,58.7354,18-Jul-07
57.9635,57.3839,59.2677,19-Jul-07
58.003,57.423,59.3081,20-Jul-07
58.5507,57.9652,59.8681,23-Jul-07
58.6301,58.0438,59.9493,24-Jul-07
58.1882,57.6063,59.4974,25-Jul-07
58.1375,57.5561,59.4456,26-Jul-07
56.5925,56.0266,57.8658,27-Jul-07
56.597,56.031,57.8704,30-Jul-07
57.5405,56.9651,58.8352,31-Jul-07
55.9541,55.3946,57.2131,1-Aug-07
56.1603,55.5987,57.4239,2-Aug-07
56.7014,56.1344,57.9772,3-Aug-07
56.3194,55.7562,57.5866,6-Aug-07
56.5843,56.0185,57.8574,7-Aug-07
57.2015,56.6295,58.4885,8-Aug-07
56.4196,55.8554,57.689,9-Aug-07
55.7401,55.1827,56.9943,10-Aug-07
56.0956,55.5346,57.3578,13-Aug-07
55.9837,55.4239,57.2433,14-Aug-07
54.2235,53.6813,55.4435,16-Aug-07
53.7628,53.2252,54.9725,17-Aug-07
54.534,53.9887,55.761,20-Aug-07
53.2668,52.7341,54.4653,21-Aug-07
53.9265,53.3872,55.1398,22-Aug-07
53.6117,53.0756,54.818,23-Aug-07
54.4533,53.9088,55.6785,24-Aug-07
55.8565,55.2979,57.1133,27-Aug-07
56.2159,55.6537,57.4808,28-Aug-07
56.4294,55.8651,57.6991,29-Aug-07
56.6662,56.0995,57.9412,30-Aug-07
57.5447,56.9693,58.8395,31-Aug-07
58.149,57.5675,59.4574,3-Sep-07
58.3501,57.7666,59.663,4-Sep-07
58.2193,57.6371,59.5292,5-Sep-07
58.8329,58.2446,60.1566,6-Sep-07
58.6073,58.0212,59.926,7-Sep-07
58.9513,58.3618,60.2777,10-Sep-07
58.8004,58.2124,60.1234,11-Sep-07
58.8783,58.2895,60.2031,12-Sep-07
59.0408,58.4504,60.3692,13-Sep-07
58.7,58.113,60.0208,14-Sep-07
58.464,57.8794,59.7794,17-Sep-07
58.8695,58.2808,60.1941,18-Sep-07
60.0262,59.4259,61.3768,19-Sep-07
60.2936,59.6907,61.6502,20-Sep-07
61.02,60.4098,62.393,21-Sep-07
62.0537,61.4332,63.4499,24-Sep-07
61.9792,61.3594,63.3737,25-Sep-07
61.8451,61.2266,63.2366,26-Sep-07
61.9556,61.336,63.3496,27-Sep-07
62.5379,61.9125,63.945,28-Sep-07
63.2251,62.5928,64.6477,1-Oct-07
64.1621,63.5205,65.6057,3-Oct-07
64.1688,63.5271,65.6126,4-Oct-07
64.1426,63.5012,65.5858,5-Oct-07
62.925,62.2958,64.3408,8-Oct-07
64.7906,64.1427,66.2484,9-Oct-07
65.9976,65.3376,67.4825,10-Oct-07
67.0821,66.4113,68.5914,11-Oct-07
66.1243,65.4631,67.6121,12-Oct-07
68.0625,67.3819,69.5939,15-Oct-07
