NAV,RP,SP,Date,
153.2184,151.6862,156.6658,19-Jun-09,
151.609,150.0929,155.0202,22-Jun-09,
151.2352,149.7228,154.638,23-Jun-09,
153.7468,152.2093,157.2061,24-Jun-09,
153.3058,151.7727,156.7552,25-Jun-09,
155.9388,154.3794,159.4474,26-Jun-09,
158.4751,156.8903,162.0408,29-Jun-09,
154.557,153.0114,158.0345,30-Jun-09,
156.0407,154.4803,159.5516,1-Jul-09,
155.5602,154.0046,159.0603,2-Jul-09,
156.6601,155.0935,160.185,3-Jul-09,
149.897,148.398,153.2697,6-Jul-09,
150.7083,149.2012,154.0992,7-Jul-09,
147.7546,146.2771,151.0791,8-Jul-09,
148.9108,147.4217,152.2613,9-Jul-09,
146.4209,144.9567,149.7154,10-Jul-09,
144.5818,143.136,147.8349,13-Jul-09,
148.9378,147.4484,152.2889,14-Jul-09,
152.9886,151.4587,156.4308,15-Jul-09,
153.786,152.2481,157.2462,16-Jul-09,
156.8017,155.2337,160.3297,17-Jul-09,
160.388,158.7841,163.9967,20-Jul-09,
159.2624,157.6698,162.8458,21-Jul-09,
157.8805,156.3017,161.4328,22-Jul-09,
160.3541,158.7506,163.9621,23-Jul-09,
162.6444,161.018,166.3039,24-Jul-09,
164.1024,162.4614,167.7947,27-Jul-09,
164.7526,163.1051,168.4595,28-Jul-09,
162.101,160.48,165.7483,29-Jul-09,
163.1139,161.4828,166.784,30-Jul-09,
165.0765,163.4257,168.7907,31-Jul-09,
167.0462,165.3757,167.0462,3-Aug-09,
166.6517,164.9852,166.6517,4-Aug-09,
167.9347,166.2554,167.9347,5-Aug-09,
164.3826,162.7388,164.3826,6-Aug-09,
160.8037,159.1957,160.8037,7-Aug-09,
158.4866,156.9017,158.4866,10-Aug-09,
160.3099,158.7068,160.3099,11-Aug-09,
160.8497,159.2412,160.8497,12-Aug-09,
165.7648,164.1072,165.7648,13-Aug-09,
165.5083,163.8532,165.5083,14-Aug-09,
159.9767,158.3769,159.9767,17-Aug-09,
162.1845,160.5627,162.1845,18-Aug-09,
160.1405,158.5391,160.1405,19-Aug-09,
161.9618,160.3422,161.9618,20-Aug-09,
164.3157,162.6725,164.3157,21-Aug-09,
167.6304,165.9541,167.6304,24-Aug-09,
167.5329,165.8576,167.5329,25-Aug-09,
168.9919,167.302,168.9919,26-Aug-09,
168.98,167.2902,168.98,27-Aug-09,
170.6093,168.9032,170.6093,28-Aug-09,
170.2449,168.5425,170.2449,31-Aug-09,
168.655,166.9685,168.655,1-Sep-09,
168.1603,166.4787,168.1603,2-Sep-09,
167.9503,166.2708,167.9503,3-Sep-09,
169.8749,168.1762,169.8749,4-Sep-09,
173.9655,172.2258,173.9655,7-Sep-09,
174.0231,172.2829,174.0231,8-Sep-09,
172.9313,171.202,172.9313,9-Sep-09,
173.1485,171.417,173.1485,10-Sep-09,
172.4218,170.6976,172.4218,11-Sep-09,
172.6387,170.9123,172.6387,14-Sep-09,
175.5756,173.8198,175.5756,15-Sep-09,
177.3266,175.5533,177.3266,16-Sep-09,
177.3662,175.5925,177.3662,17-Sep-09,
177.5889,175.813,177.5889,18-Sep-09,
178.6272,176.8409,178.6272,22-Sep-09,
177.3643,175.5907,177.3643,23-Sep-09,
177.5142,175.7391,177.5142,24-Sep-09,
177.3439,175.5705,177.3439,25-Sep-09,
178.3731,176.5894,178.3731,29-Sep-09,
179.9505,178.151,179.9505,30-Sep-09,
179.9168,178.1176,179.9168,1-Oct-09,
176.4215,174.6573,176.4215,5-Oct-09,
176.6222,174.856,176.6222,6-Oct-09,
177.7213,175.9441,177.7213,7-Oct-09,
178.7611,176.9735,178.7611,8-Oct-09,
178.7662,176.9785,178.7662,9-Oct-09,
181.7705,179.9528,181.7705,12-Oct-09,
184.967,183.1173,184.967,14-Oct-09,
185.3389,183.4855,185.3389,15-Oct-09,
186.5169,184.6517,186.5169,16-Oct-09,
186.0294,184.1691,186.0294,20-Oct-09,
183.5553,181.7197,183.5553,21-Oct-09,
181.7302,179.9129,181.7302,22-Oct-09,
183.2509,181.4184,183.2509,23-Oct-09,
181.0722,179.2615,181.0722,26-Oct-09,
176.2658,174.5031,176.2658,27-Oct-09,
175.6696,173.9129,175.6696,28-Oct-09,
173.875,172.1363,173.875,29-Oct-09,
173.9106,172.1715,173.9106,30-Oct-09,
168.6555,166.9689,168.6555,3-Nov-09,
172.6936,170.9667,172.6936,4-Nov-09,
175.5018,173.7468,175.5018,5-Nov-09,
178.6032,176.8172,178.6032,6-Nov-09,
182.1365,180.3151,182.1365,9-Nov-09,
181.4932,179.6783,181.4932,10-Nov-09,
184.7992,182.9512,184.7992,11-Nov-09,
182.7663,180.9386,182.7663,12-Nov-09,
184.083,182.2422,184.083,13-Nov-09,
185.9405,184.0811,185.9405,16-Nov-09,
186.0433,184.1829,186.0433,17-Nov-09,
186.5719,184.7062,186.5719,18-Nov-09,
184.399,182.555,184.399,19-Nov-09,
185.5907,183.7348,185.5907,20-Nov-09,
185.9564,184.0968,185.9564,23-Nov-09,
185.9493,184.0898,185.9493,24-Nov-09,
186.8134,184.9453,186.8134,25-Nov-09,
184.3235,182.4803,184.3235,26-Nov-09,
181.6069,179.7908,181.6069,27-Nov-09,
185.3012,183.4482,185.3012,30-Nov-09,
188.3127,186.4296,188.3127,1-Dec-09,
188.4492,186.5647,188.4492,2-Dec-09,
189.103,187.212,189.103,3-Dec-09,
189.0411,187.1507,189.0411,4-Dec-09,
187.3833,185.5095,187.3833,7-Dec-09,
190.1376,188.2362,190.1376,8-Dec-09,
188.6174,186.7312,188.6174,9-Dec-09,
189.733,187.8357,189.733,10-Dec-09,
188.8815,186.9927,188.8815,11-Dec-09,
188.1728,186.2911,188.1728,14-Dec-09,
185.7991,183.9411,185.7991,15-Dec-09,
186.555,184.6895,186.555,16-Dec-09,
187.6982,185.8212,187.6982,17-Dec-09,
185.9729,184.1132,185.9729,18-Dec-09,
185.2733,183.4206,185.2733,21-Dec-09,
186.8056,184.9375,186.8056,22-Dec-09,
190.0594,188.1588,190.0594,23-Dec-09,
190.9626,189.053,190.9626,24-Dec-09,
191.6,189.684,191.6,29-Dec-09,
192.1771,190.2553,192.1771,30-Dec-09,
192.8417,190.9133,192.8417,31-Dec-09,
194.5995,192.6535,194.5995,4-Jan-10,
197.1121,195.141,197.1121,5-Jan-10,
198.1393,196.1579,198.1393,6-Jan-10,
198.0989,196.1179,198.0989,7-Jan-10,
197.6766,195.6998,197.6766,8-Jan-10,
199.5413,197.5459,199.5413,11-Jan-10,
197.9531,195.9736,197.9531,12-Jan-10,
198.7841,196.7963,198.7841,13-Jan-10,
200.1612,198.1596,200.1612,14-Jan-10,
200.7692,198.7615,200.7692,15-Jan-10,
201.674,199.6573,201.674,18-Jan-10,
200.289,198.2861,200.289,19-Jan-10,
201.0807,199.0699,201.0807,20-Jan-10,
196.2505,194.288,196.2505,21-Jan-10,
194.0056,192.0655,194.0056,22-Jan-10,
192.0395,190.1191,192.0395,25-Jan-10,
185.3332,183.4799,185.3332,27-Jan-10,
185.8917,184.0328,185.8917,28-Jan-10,
186.5485,184.683,186.5485,29-Jan-10,
189.8232,187.925,189.8232,1-Feb-10,
187.691,185.8141,187.691,2-Feb-10,
191.1306,189.2193,191.1306,3-Feb-10,
187.8841,186.0053,187.8841,4-Feb-10,
183.1914,181.3595,183.1914,5-Feb-10,
185.3936,183.5397,185.3936,8-Feb-10,
187.7346,185.8573,187.7346,9-Feb-10,
187.6521,185.7756,187.6521,10-Feb-10,
189.0317,187.1414,189.0317,11-Feb-10,
187.0591,185.1885,187.0591,15-Feb-10,
188.203,186.321,188.203,16-Feb-10,
190.3019,188.3989,190.3019,17-Feb-10,
189.4101,187.516,189.4101,18-Feb-10,
187.1373,185.2659,187.1373,19-Feb-10,
185.7236,183.8664,185.7236,22-Feb-10,
185.3127,183.4596,185.3127,23-Feb-10,
184.7481,182.9006,184.7481,24-Feb-10,
184.94,183.0906,184.94,25-Feb-10,
187.6991,185.8221,187.6991,26-Feb-10,
191.8596,189.941,191.8596,2-Mar-10,
194.3089,192.3658,194.3089,3-Mar-10,
195.8869,193.928,195.8869,4-Mar-10,
197.0653,195.0946,197.0653,5-Mar-10,
197.9053,195.9262,197.9053,8-Mar-10,
196.7111,194.744,196.7111,9-Mar-10,
196.3099,194.3468,196.3099,10-Mar-10,
196.3877,194.4238,196.3877,11-Mar-10,
196.7609,194.7933,196.7609,12-Mar-10,
195.5352,193.5798,195.5352,15-Mar-10,
197.1477,195.1762,197.1477,16-Mar-10,
198.5847,196.5989,198.5847,17-Mar-10,
199.349,197.3555,199.349,18-Mar-10,
199.9401,197.9407,199.9401,19-Mar-10,
198.4414,196.457,198.4414,22-Mar-10,
198.8432,196.8548,198.8432,23-Mar-10,
199.9564,197.9568,199.9564,25-Mar-10,
200.7163,198.7091,200.7163,26-Mar-10,
200.7275,198.7202,200.7275,29-Mar-10,
200.9125,198.9034,200.9125,30-Mar-10,
201.2391,199.2267,201.2391,31-Mar-10,
202.3964,200.3724,202.3964,1-Apr-10,
204.8435,202.7951,204.8435,5-Apr-10,
205.4042,203.3502,205.4042,6-Apr-10,
206.1526,204.0911,206.1526,7-Apr-10,
204.149,202.1075,204.149,8-Apr-10,
205.7931,203.7352,205.7931,9-Apr-10,
205.5053,203.4502,205.5053,12-Apr-10,
204.4664,202.4217,204.4664,13-Apr-10,
203.9906,201.9507,203.9906,15-Apr-10,
203.3805,201.3467,203.3805,16-Apr-10,
201.1758,199.164,201.1758,19-Apr-10,
202.7499,200.7224,202.7499,20-Apr-10,
203.6064,201.5703,203.6064,21-Apr-10,
203.4994,201.4644,203.4994,22-Apr-10,
203.5404,201.505,203.5404,23-Apr-10,
204.1214,202.0802,204.1214,26-Apr-10,
204.049,202.0085,204.049,27-Apr-10,
201.3729,199.3592,201.3729,28-Apr-10,
202.241,200.2186,202.241,29-Apr-10,
202.9146,200.8855,202.9146,30-Apr-10,
201.616,199.5998,201.616,3-May-10,
198.5355,196.5501,198.5355,4-May-10,
198.9894,196.9995,198.9894,5-May-10,
197.7006,195.7236,197.7006,6-May-10,
194.4221,192.4779,194.4221,7-May-10,
198.9867,196.9968,198.9867,10-May-10,
196.64,194.6736,196.64,11-May-10,
196.2736,194.3109,196.2736,12-May-10,
198.3792,196.3954,198.3792,13-May-10,
197.0796,195.1088,197.0796,14-May-10,
195.7025,193.7455,195.7025,17-May-10,
196.0726,194.1119,196.0726,18-May-10,
191.7049,189.7879,191.7049,19-May-10,
191.4585,189.5439,191.4585,20-May-10,
189.8716,187.9729,189.8716,21-May-10,
189.6523,187.7558,189.6523,24-May-10,
185.3364,183.483,185.3364,25-May-10,
188.1775,186.2957,188.1775,26-May-10,
190.0741,188.1734,190.0741,27-May-10,
191.7865,189.8686,191.7865,28-May-10,
192.5601,190.6345,192.5601,31-May-10,
190.4847,188.5799,190.4847,1-Jun-10,
192.3052,190.3821,192.3052,2-Jun-10,
194.6964,192.7494,194.6964,3-Jun-10,
195.6768,193.72,195.6768,4-Jun-10,
192.9079,190.9788,192.9079,7-Jun-10,
191.5233,189.6081,191.5233,8-Jun-10,
193.4022,191.4682,193.4022,9-Jun-10,
196.639,194.6726,196.639,10-Jun-10,
197.143,195.1716,197.143,11-Jun-10,
198.3453,196.3618,198.3453,14-Jun-10,
198.8811,196.8923,198.8811,15-Jun-10,
199.9882,197.9883,199.9882,16-Jun-10,
200.5846,198.5788,200.5846,17-Jun-10,
198.671,196.6843,198.671,18-Jun-10,
201.1691,199.1574,201.1691,21-Jun-10,
199.9301,197.9308,199.9301,22-Jun-10,
201.475,199.4603,201.475,23-Jun-10,
201.1235,199.1123,201.1235,24-Jun-10,
200.1093,198.1082,200.1093,25-Jun-10,
202.5038,200.4788,202.5038,28-Jun-10,
200.9104,198.9013,200.9104,29-Jun-10,
202.8684,200.8397,202.8684,30-Jun-10,
201.6884,199.6715,201.6884,1-Jul-10,
201.1262,199.1149,201.1262,2-Jul-10,
201.9302,199.9109,201.9302,5-Jul-10,
203.6575,201.6209,203.6575,6-Jul-10,
203.2964,201.2634,203.2964,7-Jul-10,
204.6642,202.6176,204.6642,8-Jul-10,
207.8472,205.7687,207.8472,9-Jul-10,
208.6091,206.523,208.6091,12-Jul-10,
208.5522,206.4667,208.5522,13-Jul-10,
207.2134,205.1413,207.2134,14-Jul-10,
206.2249,204.1627,206.2249,15-Jul-10,
207.2077,205.1356,207.2077,16-Jul-10,
207.1793,205.1075,207.1793,19-Jul-10,
206.284,204.2212,206.284,20-Jul-10,
207.0001,204.9301,207.0001,21-Jul-10,
207.908,205.8289,207.908,22-Jul-10,
208.5794,206.4936,208.5794,23-Jul-10,
207.9131,205.834,207.9131,26-Jul-10,
208.5206,206.4354,208.5206,27-Jul-10,
208.8107,206.7226,208.8107,28-Jul-10,
208.9928,206.9029,208.9928,29-Jul-10,
208.681,206.5942,208.681,30-Jul-10,
210.6841,208.5773,210.6841,2-Aug-10,
211.787,209.6691,211.787,3-Aug-10,
212.6237,210.4975,212.6237,4-Aug-10,
212.4307,210.3064,212.4307,5-Aug-10,
212.1141,209.993,212.1141,6-Aug-10,
214.1142,211.9731,214.1142,9-Aug-10,
212.9338,210.8045,212.9338,10-Aug-10,
211.3635,209.2499,211.3635,11-Aug-10,
211.8216,209.7034,211.8216,12-Aug-10,
213.1866,211.0547,213.1866,13-Aug-10,
213.0916,210.9607,213.0916,16-Aug-10,
214.1448,212.0034,214.1448,17-Aug-10,
215.9948,213.8349,215.9948,18-Aug-10,
218.5661,216.3804,218.5661,19-Aug-10,
217.8447,215.6663,217.8447,20-Aug-10,
220.0791,217.8783,220.0791,23-Aug-10,
218.8729,216.6842,218.8729,24-Aug-10,
216.5265,214.3612,216.5265,25-Aug-10,
217.7532,215.5757,217.7532,26-Aug-10,
216.3778,214.214,216.3778,27-Aug-10,
216.9781,214.8083,216.9781,30-Aug-10,
216.4591,214.2945,216.4591,31-Aug-10,
219.7432,217.5458,219.7432,1-Sep-10,
220.3117,218.1086,220.3117,2-Sep-10,
221.718,219.5008,221.718,3-Sep-10,
224.9842,222.7344,224.9842,6-Sep-10,
226.487,224.2221,226.487,7-Sep-10,
227.2318,224.9595,227.2318,8-Sep-10,
228.2215,225.9393,228.2215,9-Sep-10,
230.3697,228.066,230.3697,13-Sep-10,
231.4327,229.1184,231.4327,14-Sep-10,
232.4181,230.0939,232.4181,15-Sep-10,
229.8841,227.5853,229.8841,16-Sep-10,
232.7706,230.4429,232.7706,17-Sep-10,
235.2018,232.8498,235.2018,20-Sep-10,
234.8515,232.503,234.8515,21-Sep-10,
234.2817,231.9389,234.2817,22-Sep-10,
232.8602,230.5316,232.8602,23-Sep-10,
235.1883,232.8364,235.1883,24-Sep-10,
236.2004,233.8384,236.2004,27-Sep-10,
236.1091,233.748,236.1091,28-Sep-10,
234.5479,232.2024,234.5479,29-Sep-10,
233.9921,231.6522,233.9921,30-Sep-10,
238.4322,236.0479,238.4322,1-Oct-10,
239.2435,236.8511,239.2435,4-Oct-10,
239.5453,237.1498,239.5453,5-Oct-10,
241.818,239.3998,241.818,6-Oct-10,
239.9327,237.5334,239.9327,7-Oct-10,
237.8965,235.5175,237.8965,8-Oct-10,
239.1001,236.7091,239.1001,11-Oct-10,
237.4558,235.0812,237.4558,12-Oct-10,
240.7309,238.3236,240.7309,13-Oct-10,
238.8902,236.5013,238.8902,14-Oct-10,
235.0602,232.7096,235.0602,15-Oct-10,
234.3224,231.9792,234.3224,18-Oct-10,
233.9975,231.6575,233.9975,19-Oct-10,
232.0481,229.7276,232.0481,20-Oct-10,
235.3013,232.9483,235.3013,21-Oct-10,
234.9625,232.6129,234.9625,22-Oct-10,
236.5824,234.2166,236.5824,25-Oct-10,
235.3521,232.9986,235.3521,26-Oct-10,
232.8458,230.5173,232.8458,27-Oct-10,
232.3118,229.9887,232.3118,28-Oct-10,
231.4477,229.1332,231.4477,29-Oct-10,
235.0816,232.7308,235.0816,1-Nov-10,
235.5485,233.193,235.5485,2-Nov-10,
236.3764,234.0126,236.3764,3-Nov-10,
239.7761,237.3783,239.7761,4-Nov-10,
239.7789,237.3811,239.7789,8-Nov-10,
241.3363,238.9229,241.3363,9-Nov-10,
241.2134,238.8013,241.2134,10-Nov-10,
238.2131,235.831,238.2131,11-Nov-10,
233.0302,230.6999,233.0302,12-Nov-10,
233.4028,231.0688,233.4028,15-Nov-10,
230.0305,227.7302,230.0305,16-Nov-10,
231.0706,228.7599,231.0706,18-Nov-10,
227.6638,225.3872,227.6638,19-Nov-10,
230.3722,228.0685,230.3722,22-Nov-10,
228.4336,226.1493,228.4336,23-Nov-10,
226.6887,224.4218,226.6887,24-Nov-10,
224.5264,222.2811,224.5264,25-Nov-10,
221.9564,219.7368,221.9564,26-Nov-10,
224.2926,222.0497,224.2926,29-Nov-10,
227.0351,224.7647,227.0351,30-Nov-10,
230.1301,227.8288,230.1301,1-Dec-10,
230.9489,228.6394,230.9489,2-Dec-10,
229.977,227.6772,229.977,3-Dec-10,
229.3686,227.0749,229.3686,6-Dec-10,
228.357,226.0734,228.357,7-Dec-10,
226.2292,223.9669,226.2292,8-Dec-10,
220.0727,217.872,220.0727,9-Dec-10,
222.7487,220.5212,222.7487,10-Dec-10,
224.6999,222.4529,224.6999,13-Dec-10,
226.7191,224.4519,226.7191,14-Dec-10,
224.5944,222.3485,224.5944,15-Dec-10,
225.9298,223.6705,225.9298,16-Dec-10,
225.0068,222.7567,225.0068,20-Dec-10,
226.2771,224.0143,226.2771,21-Dec-10,
226.779,224.5112,226.779,22-Dec-10,
226.229,223.9667,226.229,23-Dec-10,
226.6081,224.342,226.6081,24-Dec-10,
225.3759,223.1221,225.3759,27-Dec-10,
225.6274,223.3711,225.6274,28-Dec-10,
227.812,225.5339,227.812,29-Dec-10,
228.6886,226.4017,228.6886,30-Dec-10,
230.4102,228.1061,230.4102,31-Dec-10,
232.3667,230.043,232.3667,3-Jan-11,
231.6433,229.3269,231.6433,4-Jan-11,
229.4878,227.1929,229.4878,5-Jan-11,
228.6888,226.4019,228.6888,6-Jan-11,
223.5753,221.3395,223.5753,7-Jan-11,
219.8237,217.6255,219.8237,10-Jan-11,
220.0102,217.8101,220.0102,11-Jan-11,
223.6283,221.392,223.6283,12-Jan-11,
220.6012,218.3952,220.6012,13-Jan-11,
217.7338,215.5565,217.7338,14-Jan-11,
217.9463,215.7668,217.9463,17-Jan-11,
218.8208,216.6326,218.8208,18-Jan-11,
219.3065,217.1134,219.3065,19-Jan-11,
219.5757,217.3799,219.5757,20-Jan-11,
219.7557,217.5581,219.7557,21-Jan-11,
221.2264,219.0141,221.2264,24-Jan-11,
219.4066,217.2125,219.4066,25-Jan-11,
216.6912,214.5243,216.6912,27-Jan-11,
213.1679,211.0362,213.1679,28-Jan-11,
213.1392,211.0078,213.1392,31-Jan-11,
209.523,207.4278,209.523,1-Feb-11,
210.3871,208.2832,210.3871,2-Feb-11,
213.4094,211.2753,213.4094,3-Feb-11,
209.4697,207.375,209.4697,4-Feb-11,
208.5892,206.5033,208.5892,7-Feb-11,
205.4865,203.4316,205.4865,8-Feb-11,
203.1537,201.1222,203.1537,9-Feb-11,
202.6543,200.6278,202.6543,10-Feb-11,
205.3825,203.3287,205.3825,11-Feb-11,
210.7238,208.6166,210.7238,14-Feb-11,
211.9589,209.8393,211.9589,15-Feb-11,
211.9672,209.8475,211.9672,16-Feb-11,
214.2602,212.1176,214.2602,17-Feb-11,
210.9818,208.872,210.9818,18-Feb-11,
212.1651,210.0434,212.1651,21-Feb-11,
210.1423,208.0409,210.1423,22-Feb-11,
208.6915,206.6046,208.6915,23-Feb-11,
203.499,201.464,203.499,24-Feb-11,
204.0647,202.0241,204.0647,25-Feb-11,
204.5364,202.491,204.5364,28-Feb-11,
210.6518,208.5453,210.6518,1-Mar-11,
210.7817,208.6739,210.7817,3-Mar-11,
211.2387,209.1263,211.2387,4-Mar-11,
209.5891,207.4932,209.5891,7-Mar-11,
211.8225,209.7043,211.8225,8-Mar-11,
212.2982,210.1752,212.2982,9-Mar-11,
211.5557,209.4401,211.5557,10-Mar-11,
210.1164,208.0152,210.1164,11-Mar-11,
212.2292,210.1069,212.2292,14-Mar-11,
209.5668,207.4711,209.5668,15-Mar-11,
212.532,210.4067,212.532,16-Mar-11,
211.7056,209.5885,211.7056,17-Mar-11,
209.6787,207.5819,209.6787,18-Mar-11,
209.5077,207.4126,209.5077,21-Mar-11,
211.3553,209.2417,211.3553,22-Mar-11,
213.1968,211.0648,213.1968,23-Mar-11,
214.4918,212.3469,214.4918,24-Mar-11,
218.1119,215.9308,218.1119,25-Mar-11,
219.3194,217.1262,219.3194,28-Mar-11,
220.9844,218.7746,220.9844,29-Mar-11,
223.2427,221.0103,223.2427,30-Mar-11,
224.0997,221.8587,224.0997,31-Mar-11,
224.2839,222.0411,224.2839,1-Apr-11,
227.4657,225.191,227.4657,4-Apr-11,
227.8052,225.5271,227.8052,5-Apr-11,
227.6392,225.3628,227.6392,6-Apr-11,
227.9488,225.6693,227.9488,7-Apr-11,
225.8697,223.611,225.8697,8-Apr-11,
225.0481,222.7976,225.0481,11-Apr-11,
228.3158,226.0326,228.3158,13-Apr-11,
225.4996,223.2446,225.4996,15-Apr-11,
222.8565,220.6279,222.8565,18-Apr-11,
223.3967,221.1627,223.3967,19-Apr-11,
226.6269,224.3606,226.6269,20-Apr-11,
226.9334,224.6641,226.9334,21-Apr-11,
227.2907,225.0178,227.2907,25-Apr-11,
227.6315,225.3552,227.6315,26-Apr-11,
227.5603,225.2847,227.5603,27-Apr-11,
226.3678,224.1041,226.3678,28-Apr-11,
224.4311,222.1868,224.4311,29-Apr-11,
222.6617,220.4351,222.6617,2-May-11,
219.3868,217.1929,219.3868,3-May-11,
217.8677,215.689,217.8677,4-May-11,
215.2352,213.0828,215.2352,5-May-11,
217.7257,215.5484,217.7257,6-May-11,
218.9785,216.7887,218.9785,9-May-11,
218.42,216.2358,218.42,10-May-11,
219.8456,217.6471,219.8456,11-May-11,
217.7213,215.5441,217.7213,12-May-11,
219.1646,216.973,219.1646,13-May-11,
217.9101,215.731,217.9101,16-May-11,
216.4516,214.2871,216.4516,17-May-11,
215.1752,213.0234,215.1752,18-May-11,
214.961,212.8114,214.961,19-May-11,
217.1561,214.9845,217.1561,20-May-11,
214.2386,212.0962,214.2386,23-May-11,
215.2436,213.0912,215.2436,24-May-11,
214.5467,212.4012,214.5467,25-May-11,
215.917,213.7578,215.917,26-May-11,
218.3925,216.2086,218.3925,27-May-11,
218.9486,216.7591,218.9486,30-May-11,
221.3675,219.1538,221.3675,31-May-11,
222.1574,219.9358,222.1574,1-Jun-11,
220.9129,218.7038,220.9129,2-Jun-11,
220.215,218.0129,220.215,3-Jun-11,
220.453,218.2485,220.453,6-Jun-11,
221.449,219.2345,221.449,7-Jun-11,
220.7571,218.5495,220.7571,8-Jun-11,
220.7739,218.5662,220.7739,9-Jun-11,
219.445,217.2506,219.445,10-Jun-11,
219.6072,217.4111,219.6072,13-Jun-11,
220.3963,218.1923,220.3963,14-Jun-11,
218.9243,216.7351,218.9243,15-Jun-11,
217.3561,215.1825,217.3561,16-Jun-11,
217.1633,214.9917,217.1633,17-Jun-11,
213.9199,211.7807,213.9199,20-Jun-11,
215.2166,213.0644,215.2166,21-Jun-11,
213.8679,211.7292,213.8679,22-Jun-11,
214.3853,212.2414,214.3853,23-Jun-11,
218.3459,216.1624,218.3459,24-Jun-11,
220.6687,218.462,220.6687,27-Jun-11,
221.3064,219.0933,221.3064,28-Jun-11,
223.0727,220.842,223.0727,29-Jun-11,
223.3016,221.0686,223.3016,30-Jun-11,
222.8284,220.6001,222.8284,1-Jul-11,
224.3915,222.1476,224.3915,4-Jul-11,
224.0566,221.816,224.0566,5-Jul-11,
224.0383,221.7979,224.0383,6-Jul-11,
227.1258,224.8545,227.1258,7-Jul-11,
224.9688,222.7191,224.9688,8-Jul-11,
223.3274,221.0941,223.3274,11-Jul-11,
220.6544,218.4479,220.6544,12-Jul-11,
223.0177,220.7875,223.0177,13-Jul-11,
222.6964,220.4694,222.6964,14-Jul-11,
222.0264,219.8061,222.0264,15-Jul-11,
221.4892,219.2743,221.4892,18-Jul-11,
222.2671,220.0444,222.2671,19-Jul-11,
220.089,217.8881,220.089,20-Jul-11,
219.6888,217.4919,219.6888,21-Jul-11,
223.5095,221.2744,223.5095,22-Jul-11,
225.9915,223.7316,225.9915,25-Jul-11,
223.1959,220.9639,223.1959,26-Jul-11,
224.0621,221.8215,224.0621,27-Jul-11,
221.6468,219.4303,221.6468,28-Jul-11,
222.0321,219.8118,222.0321,29-Jul-11,
223.4303,221.196,223.4303,1-Aug-11,
221.1175,218.9063,221.1175,2-Aug-11,
219.6978,217.5008,219.6978,3-Aug-11,
218.3232,216.14,218.3232,4-Aug-11,
214.2619,212.1193,214.2619,5-Aug-11,
211.4259,209.3116,211.4259,8-Aug-11,
209.75,207.6525,209.75,9-Aug-11,
212.3763,210.2525,212.3763,10-Aug-11,
211.2114,209.0993,211.2114,11-Aug-11,
208.6319,206.5456,208.6319,12-Aug-11,
207.4197,205.3455,207.4197,16-Aug-11,
207.4718,205.3971,207.4718,17-Aug-11,
204.0161,201.9759,204.0161,18-Aug-11,
200.7821,198.7743,200.7821,19-Aug-11,
203.0351,201.0047,203.0351,22-Aug-11,
204.8957,202.8467,204.8957,23-Aug-11,
203.4817,201.4469,203.4817,24-Aug-11,
202.3953,200.3713,202.3953,25-Aug-11,
198.7698,196.7821,198.7698,26-Aug-11,
204.1262,202.0849,204.1262,29-Aug-11,
207.1369,205.0655,207.1369,30-Aug-11,
208.6988,206.6118,208.6988,2-Sep-11,
208.6473,206.5608,208.6473,5-Sep-11,
209.3935,207.2996,209.3935,6-Sep-11,
211.8686,209.7499,211.8686,7-Sep-11,
212.5005,210.3755,212.5005,8-Sep-11,
209.263,207.1704,209.263,9-Sep-11,
205.8862,203.8273,205.8862,12-Sep-11,
206.1158,204.0546,206.1158,13-Sep-11,
208.4457,206.3612,208.4457,14-Sep-11,
209.8401,207.7417,209.8401,15-Sep-11,
209.4307,207.3364,209.4307,16-Sep-11,
208.8344,206.7461,208.8344,19-Sep-11,
211.4806,209.3658,211.4806,20-Sep-11,
212.456,210.3314,212.456,21-Sep-11,
205.9954,203.9354,205.9954,22-Sep-11,
204.9073,202.8582,204.9073,23-Sep-11,
203.8391,201.8007,203.8391,26-Sep-11,
207.8648,205.7862,207.8648,27-Sep-11,
206.7214,204.6542,206.7214,28-Sep-11,
208.7676,206.6799,208.7676,29-Sep-11,
207.2344,205.1621,207.2344,30-Sep-11,
204.1252,202.0839,204.1252,3-Oct-11,
201.2648,199.2522,201.2648,4-Oct-11,
199.9886,197.9887,199.9886,5-Oct-11,
202.406,200.3819,202.406,7-Oct-11,
205.5846,203.5288,205.5846,10-Oct-11,
205.6723,203.6156,205.6723,11-Oct-11,
209.4841,207.3893,209.4841,12-Oct-11,
208.9964,206.9064,208.9964,13-Oct-11,
211.8456,209.7271,211.8456,14-Oct-11,
211.4583,209.3437,211.4583,17-Oct-11,
209.2656,207.1729,209.2656,18-Oct-11,
212.425,210.3008,212.425,19-Oct-11,
211.2911,209.1782,211.2911,20-Oct-11,
209.7885,207.6906,209.7885,21-Oct-11,
211.1604,209.0488,211.1604,24-Oct-11,
213.697,211.56,213.697,25-Oct-11,
217.9683,215.7886,217.9683,28-Oct-11,
217.6176,215.4414,217.6176,31-Oct-11,
216.5683,214.4026,216.5683,1-Nov-11,
215.7646,213.607,215.7646,2-Nov-11,
216.2463,214.0838,216.2463,3-Nov-11,
216.984,214.8142,216.984,4-Nov-11,
216.8875,214.7186,216.8875,8-Nov-11,
214.3869,212.243,214.3869,9-Nov-11,
